,src,output
890,0.17555065,0.2194
891,0.1972604,0.2356
892,0.20408782,0.247
893,0.20593219,0.2479
894,0.21052231,0.2369
895,0.22911036,0.2399
896,0.22257896,0.2278
897,0.18045843,0.1967
898,0.17877851,0.1967
899,0.11954475,0.1255
900,0.123666294,0.1298
901,0.08535137,0.0841
902,0.086949244,0.07355
903,0.07695721,0.06964
904,0.08907677,0.0695
905,0.11444782,0.076
906,0.1340424,0.0745
907,0.14913315,0.0989
908,0.15679942,0.1252
909,0.16542184,0.144
910,0.16791956,0.1597
911,0.16150254,0.1722
912,0.33585355,0.2847
913,0.35111344,0.3154
914,0.35629037,0.3435
915,0.35867062,0.365
916,0.3667593,0.367
917,0.34931907,0.35
918,0.32074258,0.3276
919,0.33337736,0.3289
920,0.30688465,0.2961
921,0.25641218,0.2405
922,0.25464743,0.2405
923,0.16498949,0.1376
924,0.16776977,0.145
925,0.1129108,0.0919
926,0.10324174,0.08167
927,0.10756602,0.0792
928,0.1327951,0.09906
929,0.17368007,0.1483
930,0.18441774,0.1626
931,0.18672441,0.1632
932,0.20055984,0.1863
933,0.2185588,0.2164
934,0.2552724,0.2438
935,0.28759202,0.2756
936,0.32083893,0.3096
937,0.3377718,0.3403
938,0.35646307,0.367
939,0.3638081,0.3838
940,0.3704721,0.3857
941,0.36376286,0.3677
942,0.34150764,0.3423
943,0.34142756,0.3398
944,0.31946856,0.3071
945,0.26546845,0.2496
946,0.27135342,0.2496
947,0.16590871,0.148
948,0.18135636,0.1558
949,0.1275543,0.10376
950,0.11676235,0.09357
951,0.109860696,0.0911
952,0.13452248,0.11224
953,0.17530037,0.1616
954,0.18643036,0.1771
955,0.20249027,0.1794
956,0.20805022,0.2094
957,0.23108792,0.2477
958,0.2684057,0.2847
959,0.29878032,0.3223
960,0.23296331,0.2246
961,0.28277004,0.2903
962,0.28300726,0.2888
963,0.245916,0.2405
964,0.2232337,0.2015
965,0.2048978,0.1791
966,0.17425497,0.1548
967,0.17477806,0.1388
968,0.15918377,0.1301
969,0.14690885,0.1226
970,0.13804235,0.11707
971,0.14857283,0.1229
972,0.1409131,0.1382
973,0.19428141,0.1675
974,0.22100188,0.1869
975,0.2111589,0.1843
976,0.21732302,0.1648
977,0.18599445,0.1313
978,0.18575521,0.1313
979,0.13386436,0.0715
980,0.14006576,0.0786
981,0.14106523,0.05667
982,0.17803326,0.05667
983,0.17375273,0.0648
984,0.20793138,0.09485
985,0.26286024,0.1525
986,0.263679,0.1609
987,0.2383055,0.1466
988,0.21729487,0.1366
989,0.19427526,0.1288
990,0.1839857,0.119
991,0.16787507,0.1161
992,0.13964464,0.11255
993,0.15099153,0.1109
994,0.13634431,0.1116
995,0.13192126,0.1135
996,0.1415873,0.11383
997,0.16953482,0.1298
998,0.209114,0.1531
999,0.21237652,0.1499
1000,0.21462446,0.133
1001,0.1639563,0.0984
1002,0.1797236,0.0984
1003,0.14372455,0.03833
1004,0.154524,0.04367
1005,0.13815106,0.01917
1006,0.14547174,0.01932
1007,0.15638548,0.02484
1008,0.34037277,0.327
1009,0.38123667,0.3665
1010,0.43056864,0.4014
1011,0.45570472,0.4373
1012,0.4852516,0.4697
1013,0.52285504,0.4988
1014,0.5409153,0.5205
1015,0.5575531,0.5366
1016,0.5611003,0.5254
1017,0.539286,0.502
1018,0.5194073,0.4749
1019,0.49948955,0.4482
1020,0.48309398,0.4358
1021,0.4359637,0.395
1022,0.41988653,0.395
1023,0.32551938,0.3044
1024,0.31601107,0.3093
1025,0.25555447,0.2479
1026,0.24479805,0.2334
1027,0.23285417,0.2415
1028,0.22983508,0.2542
1029,0.22785385,0.2578
1030,0.2519714,0.267
1031,0.25493285,0.3003
1032,0.32362488,0.352
1033,0.37903598,0.3994
1034,0.44283348,0.4404
1035,0.47163674,0.4814
1036,0.52032703,0.5146
1037,0.5301118,0.54
1038,0.5562189,0.556
1039,0.5814104,0.57
1040,0.58461154,0.576
1041,0.55579025,0.569
1042,0.52202857,0.5444
1043,0.51695585,0.5215
1044,0.49828738,0.5137
1045,0.44874007,0.469
1046,0.42946446,0.469
1047,0.31929493,0.3572
1048,0.31581295,0.3665
1049,0.24743505,0.3025
1050,0.23735026,0.2878
1051,0.24269,0.2847
1052,0.26114526,0.303
1053,0.2815025,0.3298
1054,0.27360657,0.3462
1055,0.28586504,0.3762
1056,0.5369766,0.515
1057,0.5001639,0.4924
1058,0.47450453,0.4412
1059,0.45169806,0.4412
1060,0.35303754,0.3262
1061,0.35545057,0.3352
1062,0.27515364,0.257
1063,0.24901219,0.234
1064,0.23280744,0.2184
1065,0.23994045,0.2139
1066,0.25164214,0.2188
1067,0.253138,0.225
1068,0.29449308,0.2666
1069,0.33850515,0.316
1070,0.40242815,0.3645
1071,0.46268097,0.4092
1072,0.5052272,0.4436
1073,0.5381757,0.4768
1074,0.5565947,0.503
1075,0.58501023,0.5215
1076,0.6046066,0.533
1077,0.5660635,0.5283
1078,0.54126954,0.508
1079,0.5131007,0.4795
1080,0.52103525,0.467
1081,0.48849505,0.4463
1082,0.44301757,0.4014
1083,0.4341188,0.4014
